Model,Accuracy,CV_Accuracy_Mean,CV_Accuracy_Std,ROC_AUC
Gradient Boosting,0.9847775175644028,0.9833089311859444,0.0031538300481021965,0.9972946657104709
Decision Tree,0.9824355971896955,0.9789165446559297,0.006114381557195057,0.9848524601633695
Random Forest,0.9812646370023419,0.9803806734992679,0.004775843757042467,0.9989563473322722
Support Vector Machine,0.949648711943794,0.9382137628111273,0.006442166910688156,0.9906537696850968
Logistic Regression,0.9168618266978923,0.9171303074670571,0.003884772814471943,0.9731798755779445
