feature,importance
Age,0.6660429827882978
AnyTransplants,0.10059993210193531
Weight,0.0943540389459448
AnyChronicDiseases,0.03945742675011694
NumberOfMajorSurgeries,0.0351069236741647
Height,0.02972183955540122
HistoryOfCancerInFamily,0.021828839876840398
BloodPressureProblems,0.008157017615213992
Diabetes,0.0037941870721921052
KnownAllergies,0.0009368116198926897
