Model,RMSE,MAE,R2_Score,CV_RMSE_Mean,CV_RMSE_Std
Random Forest,2076.9890201064945,958.8993702005065,0.8988367498315785,2960.1803611567716,409.0980476043503
Gradient Boosting,2477.8731818624883,1498.770254926496,0.8560165673505893,3089.7720200550666,318.9335142826245
Decision Tree,2745.6084092293927,918.6582328531481,0.8232206367714129,3157.9458632603046,485.5129415852785
Linear Regression,3495.949328273825,2586.2253840681074,0.713394427027874,3871.7585266329065,363.8920307566865
Ridge Regression,3496.8890595509765,2587.217321389524,0.7132403238674112,3871.697879100975,363.72046054182965
Lasso Regression,3500.842123901991,2590.029493845189,0.712591621456697,3870.435358283356,362.874735485887
