feature,importance
Age,0.7024999078044938
AnyTransplants,0.10634358777234497
Weight,0.07783320364318144
NumberOfMajorSurgeries,0.038414382004883334
AnyChronicDiseases,0.03485611810323364
HistoryOfCancerInFamily,0.02516748399351413
Height,0.012729816478161324
BloodPressureProblems,0.0020017673030501954
KnownAllergies,0.00015373289713702088
Diabetes,0.0
